Genre,Artist,Track Name,Full Multitrack Link,Excerpt Multitrack Link,Number of Tracks (Excerpt),Number of Tracks (Full),Full Mix Preview,Excerpt Mix Preview,Unmastered WAV,Forum Link,Podcast Link
Acoustic / Jazz / Country / Orchestral,The Balazs Daniel Boogie Woogie Trio,'Own Way To Boogie',https://multitracks.cambridge-mt.com/BalazsDanielBoogieWoogieTrio_OwnWayToBoogie_Full.zip,https://multitracks.cambridge-mt.com/BalazsDanielBoogieWoogieTrio_OwnWayToBoogie.zip,21,22,https://previews.cambridge-mt.com/OwnWayToBoogie_Full_Preview.mp3,https://previews.cambridge-mt.com/OwnWayToBoogie_Preview.mp3,https://previews.cambridge-mt.com/OwnWayToBoogie_UnmasteredWAV.wav,https://discussion.cambridge-mt.com/forumdisplay.php?fid=391,
Acoustic / Jazz / Country / Orchestral,Barnstar!,'Believer',https://mtkdata.cambridgemusictechnology.co.uk/Telefunken/Barnstar_Believer_Full.zip,,,11,https://previews.cambridge-mt.com/Believer_Full_Preview.mp3,,,https://discussion.cambridge-mt.com/forumdisplay.php?fid=497,
Acoustic / Jazz / Country / Orchestral,Barnstar!,'You Don't Know',https://mtkdata.cambridgemusictechnology.co.uk/Telefunken/Barnstar_YouDontKnow_Full.zip,,,11,https://previews.cambridge-mt.com/YouDontKnow_Full_Preview.mp3,,,https://discussion.cambridge-mt.com/forumdisplay.php?fid=538,
Acoustic / Jazz / Country / Orchestral,Blue Lit Moon,'Dad's Glad',https://mtkdata.cambridgemusictechnology.co.uk/MTK001/MR1106_BlueLitMoon_Full.zip,https://mtkdata.cambridgemusictechnology.co.uk/MTK001/MR1106_BlueLitMoon.zip,11,13,https://previews.cambridge-mt.com/1106_Remix.mp3,https://previews.cambridge-mt.com/1106_Preview.mp3,https://previews.cambridge-mt.com/DadsGlad_UnmasteredWAV.wav,https://discussion.cambridge-mt.com/forumdisplay.php?fid=10,
Acoustic / Jazz / Country / Orchestral,Bolz & Knecht,"Brahms'
'Hungarian Dance No. 5'",https://multitracks.cambridge-mt.com/BolzAndKnecht_HungarianDanceNo5_Full.zip,https://multitracks.cambridge-mt.com/BolzAndKnecht_HungarianDanceNo5.zip,3,3,https://previews.cambridge-mt.com/HungarianDanceNo5_Full_Preview.mp3,https://previews.cambridge-mt.com/HungarianDanceNo5_Preview.mp3,,https://discussion.cambridge-mt.com/forumdisplay.php?fid=343,
Acoustic / Jazz / Country / Orchestral,Bolz & Knecht,'Summertime',https://multitracks.cambridge-mt.com/BolzAndKnecht_Summertime_Full.zip,https://multitracks.cambridge-mt.com/BolzAndKnecht_Summertime.zip,6,6,https://previews.cambridge-mt.com/Summertime2_Full_Preview.mp3,https://previews.cambridge-mt.com/Summertime2_Preview.mp3,https://previews.cambridge-mt.com/Summertime2_UnmasteredWAV.wav,https://discussion.cambridge-mt.com/forumdisplay.php?fid=385,
Acoustic / Jazz / Country / Orchestral,Camilla Francesca Bull,'Va! Laisse Couler Mes Larmes',https://mtkdata.cambridgemusictechnology.co.uk/MTK012/CamillaFrancescaBull_VaLaisseCoulerMesLarmes_Full.zip,https://mtkdata.cambridgemusictechnology.co.uk/MTK012/CamillaFrancescaBull_VaLaisseCoulerMesLarmes.zip,6,6,https://previews.cambridge-mt.com/VaLaisseCoulerMesLarmes_Full_Preview.mp3,https://previews.cambridge-mt.com/VaLaisseCoulerMesLarmes_Preview.mp3,https://previews.cambridge-mt.com/VaLaisseCoulerMesLarmes_UnmasteredWAV.wav,https://discussion.cambridge-mt.com/forumdisplay.php?fid=367,
Acoustic / Jazz / Country / Orchestral,Camilla Francesca Bull,"W.A.Mozart's
'Voi Che Sapete'",https://mtkdata.cambridgemusictechnology.co.uk/MTK012/CamillaFrancescaBull_VoiCheSapete_Full.zip,https://mtkdata.cambridgemusictechnology.co.uk/MTK012/CamillaFrancescaBull_VoiCheSapete.zip,6,6,https://previews.cambridge-mt.com/VoiCheSapete_Full_Preview.mp3,https://previews.cambridge-mt.com/VoiCheSapete_Preview.mp3,https://previews.cambridge-mt.com/VoiCheSapete_UnmasteredWAV.wav,https://discussion.cambridge-mt.com/forumdisplay.php?fid=358,
Acoustic / Jazz / Country / Orchestral,Chalga,'Szárad A Száj',https://mtkdata.cambridgemusictechnology.co.uk/MTK015/Chalga_SzaradASzaj_Full.zip,https://mtkdata.cambridgemusictechnology.co.uk/MTK015/Chalga_SzaradASzaj.zip,17,17,https://previews.cambridge-mt.com/SzaradASzaj_Full_Preview.mp3,https://previews.cambridge-mt.com/SzaradASzaj_Preview.mp3,,https://discussion.cambridge-mt.com/forumdisplay.php?fid=531,
Acoustic / Jazz / Country / Orchestral,Colebrook Road,'Bright Angel',https://mtkdata.cambridgemusictechnology.co.uk/Telefunken/ColebrookRoad_BrightAngel_Full.zip,,,5,https://previews.cambridge-mt.com/BrightAngel_Full_Preview.mp3,,,https://discussion.cambridge-mt.com/forumdisplay.php?fid=485,
